Record Num.,Array Current(A) ,Array Voltage(V),Array Power(W),Load Current(A),Load Voltage(V),Load Power(W),Battery Current(A),Battery Voltage(V),Battery Temp.(℃),Battery SOC(%),Battery Max. Voltage(V),Battery Min. Voltage(V),Array Status,Charging Status,Battery Status,Load Status,Device Status,Daily Energy Consumed(kWh),Monthly Energy Consumed(kWh),Annual Energy Consumed(kWh),Total Energy Consumed(kWh),Daily Energy Generated(kWh),Monthly Energy Generated(kWh),Annual Energy Generated(kWh),Total Energy Generated(kWh)
1,0.30,21.84,6.61,0.00,14.39,0.00,0.46,14.39,25.00,100,14.88,12.89,Input,RaisingCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.08,0.19,0.62,1.89,2017/2/14  12:11:0
2,0.19,21.57,4.28,0.00,13.81,0.00,0.31,13.81,25.00,100,14.88,12.89,Input,FloatCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.08,0.19,0.62,1.89,2017/2/14  12:22:0
3,0.19,21.89,4.27,0.00,13.79,0.00,0.31,13.79,25.00,99,14.88,12.89,Input,FloatCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.08,0.19,0.62,1.89,2017/2/14  12:33:0
4,0.17,21.68,3.85,0.00,13.78,0.00,0.28,13.78,25.00,99,14.88,12.89,Input,FloatCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.08,0.19,0.62,1.89,2017/2/14  12:44:0
5,0.20,21.74,4.56,0.00,13.83,0.00,0.33,13.83,25.00,100,14.88,12.89,Input,FloatCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.08,0.19,0.62,1.89,2017/2/14  12:55:0
6,0.15,21.53,3.43,0.00,13.75,0.00,0.25,13.75,25.00,97,14.88,12.89,Input,FloatCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.08,0.19,0.62,1.89,2017/2/14  13:6:0
7,0.19,22.14,4.27,0.00,13.80,0.00,0.31,13.80,25.00,100,14.88,12.89,Input,FloatCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.08,0.19,0.62,1.89,2017/2/14  13:17:0
8,0.20,20.44,4.12,0.00,13.75,0.00,0.30,13.75,25.00,98,14.88,12.89,Input,FloatCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.08,0.19,0.62,1.89,2017/2/14  13:28:0
9,0.16,20.46,3.44,0.00,13.77,0.00,0.25,13.77,25.00,99,14.88,12.89,Input,FloatCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.08,0.19,0.62,1.89,2017/2/14  13:39:0
10,0.13,21.15,2.88,0.00,13.73,0.00,0.21,13.73,25.00,97,14.88,12.89,Input,FloatCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.08,0.19,0.62,1.89,2017/2/14  13:50:0
11,0.19,21.83,4.29,0.00,13.87,0.00,0.31,13.87,25.00,100,14.88,12.89,Input,FloatCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.08,0.19,0.62,1.89,2017/2/14  14:1:0
12,0.14,21.21,3.17,0.00,13.80,0.00,0.23,13.80,25.00,100,14.88,12.89,Input,FloatCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.20,0.63,1.90,2017/2/14  14:12:0
13,0.17,21.81,3.72,0.00,13.80,0.00,0.27,13.80,25.00,100,14.88,12.89,Input,FloatCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.20,0.63,1.90,2017/2/14  14:23:0
14,0.18,19.65,3.72,0.00,13.79,0.00,0.27,13.79,25.00,99,14.88,12.89,Input,FloatCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.20,0.63,1.90,2017/2/14  14:34:0
15,0.18,22.00,4.01,0.00,13.84,0.00,0.29,13.84,25.00,98,14.88,12.89,Input,FloatCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.20,0.63,1.90,2017/2/14  14:45:0
16,0.24,19.49,4.85,0.00,13.87,0.00,0.35,13.87,25.00,100,14.88,12.89,Input,FloatCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.20,0.63,1.90,2017/2/14  14:56:0
17,0.16,19.50,3.30,0.00,13.75,0.00,0.24,13.75,25.00,97,14.88,12.89,Input,FloatCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.20,0.63,1.90,2017/2/14  15:7:0
18,0.17,19.33,3.44,0.00,13.79,0.00,0.25,13.79,25.00,99,14.88,12.89,Input,FloatCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.09,0.20,0.63,1.90,2017/2/14  15:18:0
